1	1	餐饮	主食不错	主食不错	2	201001	2	餐饮	主食整体印象差	主食整体印象差	2
2	9	餐饮	菜品满意	菜品满意	4	201002	6	餐饮	菜品整体印象差	菜品整体印象差	4
3	9	餐饮	餐具满意	餐具满意	1	201003	7	餐饮	餐具差	餐具差	1
4	21	餐饮	餐厅环境舒适	餐厅环境舒适	3	24	122	餐饮	餐厅环境差	餐厅环境差	3
5	23	餐饮	餐厅空间宽敞	餐厅空间宽敞	1	205	124	餐饮	餐厅空间拥挤	餐厅空间拥挤	1
6	25	餐饮	餐厅位置佳	餐厅位置佳	1	201006	16	餐饮	餐厅位置偏	餐厅位置偏	1
7	17	餐饮	餐厅档次一流	餐厅档次一流	4	2007	128	餐饮	餐厅档次低	餐厅档次低	4
8	19	餐饮	餐厅设施齐全	餐厅设施齐全	2	208	130	餐饮	餐厅设施不足	餐厅设施不足	2
9	13	餐饮	餐厅装修与设计有特色	餐厅装修有特色	2	2009	134	餐饮	餐厅装修与设计差	餐厅装修差	2
0	15	餐饮	餐厅质量放心	餐厅质量放心	5	2010	136	餐饮	餐厅质量差	餐厅质量差	5
1	19	餐饮	早餐很赞	早餐很赞	4	201011	10	餐饮	早餐整体印象差	不含早餐	4
2	11	餐饮	早餐环境舒适	早餐环境舒适	3	2012	142	餐饮	早餐环境差	早餐环境差	3
3	13	餐饮	早餐味道可口	早餐味道可口	5	2013	144	餐饮	早餐味道差	早餐味道差	5
4	15	餐饮	早餐种类丰富	早餐种类丰富	5	2114	146	餐饮	早餐种类少	早餐种类少	5
5	17	餐饮	早餐质量好	早餐质量好	4	201015	14	餐饮	早餐质量差	早餐质量差	4
6	19	餐饮	早餐档次豪华	早餐档次豪华	4	2016	150	餐饮	早餐档次低	早餐档次低	4
7	13	餐饮	午餐种类丰富	午餐种类丰富	3	2017	154	餐饮	午餐种类少	午餐种类少	3
8	15	餐饮	午餐味道可口	午餐味道可口	3	2018	156	餐饮	午餐味道差	午餐味道差	3
9	19	餐饮	晚餐种类丰富	晚餐种类丰富	3	201 10	餐饮	晚餐种类少	晚餐种类少	3
0	11	餐饮	晚餐味道可口	晚餐味道可口	3	201	12	餐饮	晚餐味道差	晚餐味道差	3
1	15	餐饮	夜宵种类丰富	夜宵种类丰富	3	201	16	餐饮	夜宵种类少	夜宵种类少	3
2	17	餐饮	夜宵味道可口	夜宵味道可口	3	201	18	餐饮	夜宵味道差	夜宵味道差	3
3	11	餐饮	自助餐种类丰富	自助餐种类丰富	3	201	12	餐饮	自助餐种类单调	自助餐种类单调	3
4	13	餐饮	自助餐味道可口	自助餐味道可口	3	201	14	餐饮	自助餐味道差	自助餐味道差	3
5	15	餐饮	自助餐质量好	自助餐质量好	3	201	16	餐饮	自助餐质量差	自助餐质量差	3
6	19	餐饮	中餐品种丰富	中餐品种丰富	3	201	10	餐饮	中餐品种少	中餐品种少	3
7	11	餐饮	中餐味道可口	中餐味道可口	3	201	12	餐饮	中餐味道差	中餐味道差	3
8	15	餐饮	西餐种类丰富	西餐种类丰富	3	201	16	餐饮	西餐种类单调	西餐种类单调	3
9	17	餐饮	西餐味道可口	西餐味道可口	3	201	18	餐饮	西餐味道差	西餐味道差	3
0	11	餐饮	菜品种类丰富	菜品种类丰富	2	201	12	餐饮	菜品种类少	菜品种类少	2
1	13	餐饮	菜品数量足	菜品数量足	2	201031	194	餐饮	菜品数量少	菜品数量少	2
2	15	餐饮	菜品质量好	菜品质量好	2	201032	196	餐饮	菜品质量差	菜品质量差	2
3	17	餐饮	菜品味道可口	菜品味道可口	2	201033	198	餐饮	菜品味道差	菜品味道差	2
4	19	餐饮	主食数量多	主食数量多	1	201034	200	餐饮	主食数量少	主食数量少	1
5	21	餐饮	主食味道可口	主食味道可口	2	201035	202	餐饮	主食味道差	主食味道差	2
6	27	餐饮	甜食味道不错	甜食味道不错	2	201036	208	餐饮	甜食数量少	甜食数量少	2
7	29	餐饮	蔬菜不错	蔬菜不错	1	201037	210	餐饮	蔬菜整体印象差	蔬菜整体印象差	1
8	21	餐饮	海鲜种类大且多	海鲜种类大且多	3	201038	212	餐饮	海鲜种类小且少	海鲜种类小且少	3
9	27	餐饮	水果很赞	水果很赞	1	39	28	餐饮	水果整体印象差	水果整体印象差	1
0	29	餐饮	零食很赞	零食很赞	1	40	20	餐饮	零食整体印象差	零食整体印象差	1
1	21	餐饮	面食地道	面食地道	1	41	22	餐饮	面食整体印象差	面食整体印象差	1
2	23	餐饮	火锅好吃	火锅好吃	3	42	24	餐饮	火锅整体印象差	火锅整体印象差	3
3	25	餐饮	烧烤有特色	烧烤有特色	4	43	26	餐饮	烧烤整体印象差	烧烤整体印象差	4
4	22	餐饮	茶水数量多	茶水数量多	1	44	23	餐饮	茶水数量少	茶水数量少	1
5	24	餐饮	茶水口味好	茶水口味好	2	45	25	餐饮	茶水口味差	茶水口味差	2
6	26	餐饮	茶水品质很赞	茶水品质很赞	2	201046	247	餐饮	茶水品质差	茶水品质差	2
7	20	餐饮	酒水数量多	酒水数量多	1	201047	251	餐饮	酒水数量少	酒水数量少	1
8	22	餐饮	酒水品质好	酒水品质好	2	201048	253	餐饮	酒水品质差	酒水品质差	2
9	24	餐饮	酒水口味爽口	酒水口味爽口	3	201049	255	餐饮	酒水口味差	酒水口味差	3
0	26	餐饮	酒水满意	酒水满意	3	20	2	餐饮	酒水差	酒水差	3
1	24	餐饮	肉食满意	肉食满意	2	20	2	餐饮	肉食整体印象差	肉食整体印象差	2
2	36	餐饮	海鲜不错	海鲜不错	4	20	3	餐饮	海鲜整体印象差	海鲜整体印象差	4
3	31	餐饮	晚餐满意	晚餐满意	2	20	3	餐饮	晚餐整体印象差	晚餐整体印象差	2
4	31	餐饮	糕点不错	糕点不错	1	20	3	餐饮	糕点数量小	糕点数量小	1
5	45	餐饮	午餐满意	午餐满意	2	20	4	餐饮	午餐整体印象差	午餐整体印象差	2
6	43	餐饮	西餐满意	西餐满意	3	20	4	餐饮	西餐整体印象差	西餐整体印象差	3
7	45	餐饮	夜宵满意	夜宵满意	2	20	4	餐饮	夜宵整体印象差	夜宵整体印象差	2
8	47	餐饮	中餐满意	中餐满意	4	20	4	餐饮	中餐整体印象差	中餐整体印象差	4
9	45	餐饮	茶具挺好	茶具挺好	1	20	4	餐饮	茶具差	茶具差	1
0	47	餐饮	茶水不错	茶水不错	2	20	4	餐饮	茶水差	茶水差	2
1	49	餐饮	餐厅不错	餐厅不错	3	20	4	餐饮	餐厅整体印象差	餐厅整体印象差	3
2	53	餐饮	自助餐满意	自助餐满意	3	20	5	餐饮	自助餐整体印象差	自助餐印象差	3
1	2	房间设施	音响效果不错	音响效果不错	1	202001	22	房间设施	音响差	音响差	1
2	19	房间设施	抽屉满意	抽屉满意	1	202	110	房间设施	抽屉差	抽屉差	1
3	17	房间设施	写字台不错	写字台不错	1	203	118	房间设施	写字台差	写字台差	1
4	11	房间设施	床头柜满意	床头柜满意	1	204	132	房间设施	床头柜差	床头柜差	1
5	11	房间设施	床头满意	床头满意	1	205	152	房间设施	床头差	床头差	1
6	17	房间设施	打印机满意	打印机满意	1	206	158	房间设施	打印机差	打印机差	1
7	19	房间设施	地面满意	地面满意	1	207	170	房间设施	地面差	地面差	1
8	17	房间设施	地毯满意	地毯满意	1	208	178	房间设施	地毯差	地毯差	1
9	19	房间设施	电视柜满意	电视柜满意	1	209	190	房间设施	电视柜差	电视柜差	1
0	23	房间设施	家具满意	家具满意	2	200	214	房间设施	家具差	家具差	2
1	25	房间设施	梳子不错	梳子不错	1	201	216	房间设施	梳子差	梳子差	1
2	28	房间设施	免费网络不错	免费网络不错	5	202012	259	房间设施	免费网络差	免费网络差	5
3	28	房间设施	客房格局满意	客房格局满意	3	202013	279	房间设施	客房格局差	客房格局差	3
4	36	房间设施	空调效果不错	空调效果不错	5	202014	307	房间设施	空调效果差	空调效果差	5
5	38	房间设施	梳妆镜满意	梳妆镜满意	2	202015	309	房间设施	梳妆镜不足	梳妆镜不足	2
6	32	房间设施	客房装修不错	客房装修不错	4	202016	313	房间设施	客房装修差	客房装修差	4
7	34	房间设施	地巾好	地巾好	1	202017	315	房间设施	地巾差	地巾差	1
8	30	房间设施	体重秤满意	体重秤满意	1	202018	331	房间设施	体重秤差	体重秤差	1
9	38	房间设施	客房设施不错	客房设施不错	5	202019	339	房间设施	客房设施差	设施陈旧	5
0	34	房间设施	床上用品舒适	床上用品舒适	3	202020	345	房间设施	床上用品差	床上用品差	3
1	38	房间设施	床软硬度合适	床软硬度合适	3	202021	房间设施		3
2	39	房间设施	床宽敞	床宽敞	3	202022	350	房间设施	床小	床小	3
3	33	房间设施	新枕头	新枕头	1	202023	354	房间设施	枕头旧	枕头旧	1
4	35	房间设施	枕头充足	枕头充足	1	202024	356	房间设施	枕头少	枕头少	1
5	37	房间设施	枕头软硬度合适	枕头软硬度合适	1	202025	358	房间设施	枕头软硬度差	枕头软硬度差	1
6	39	房间设施	枕头舒服	枕头舒服	1	202026	360	房间设施	枕头差	枕头差	1
7	31	房间设施	枕头厚实	枕头厚实	1	202027	362	房间设施	枕头单薄且小	枕头单薄且小	1
8	35	房间设施	床垫软硬度合适	床垫软硬度合适	1	202028	366	房间设施	床软硬度差	床软硬度差	1
9	37	房间设施	床垫厚实	床垫厚实	1	202029	368	房间设施	床垫单薄	床垫单薄	1
0	39	房间设施	床垫舒适	床垫舒适	1	202030	370	房间设施	床垫差	床垫差	1
